"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"S1";"SK-3296S-01-L1";1;"SK-3296S-01-L1";;;
2;"U15";"ED060XH7";1;"ED060XH7";;;
3;"K7,K48,K9,K40,K31,K17,K46,K6,K14,K43,K18,K34,K27,K47,K39,K45,K22,K21,K24,K42,K29,K20,K38,K15,K8,K51,K19,K16,K30,K5,K28,K41,K32,K33,K37,K49,K23,K50,K44,K35,K25,K26";"HEADER_MALE_1X1_Inkplate";42;"HEADER_MALE_1X1_Inkplate";;;
4;"C1,C4,C13,C58,C7,C2,C61,C44,C45,C9,C12,C11,C59,C3,C6,C60";"0805C";16;"4u7-TMK212AB7475KG-T";;;
5;"C48,C36,C47,C22,C63,C41,C54,C29,C30,C65,C39,C66,C56,C51,C23,C33,C62,C52,C40,C55,C20,C35,C57";"0603C";23;"100n";;;
6;"R10,R11,R12,R9,R8";"0603R";5;"4k7";;;
7;"U4";"SOT-23-5";1;"MCP73831T";;;
8;"Q12,Q10,Q6,Q5,Q14,Q13";"SOT-23-3";6;"PMOS";;;
9;"C26,C34,C50,C25,C27,C28";"0603C";6;"2u2";;;
10;"R30,R40,R39,R25,R48,R5,R59,R49,R38,R58,R42,R6,R44,R43,R7,R51,R56,R31,R36";"0603R";19;"100k";;;
11;"JP4,JP1,JP3,JP2,JP6";"SMD_JUMPER_3_PAD_CONNECTED_LEFT_TRACE";5;"SMD_JUMPER_3_PAD_CONNECTED_LEFT_TRACE";;;
12;"PAD9,PAD5,PAD6,PAD3,PAD1,PAD2,PAD4";"PAD_4x4";7;"PAD_4x4";;;
13;"Q2,Q8,Q3";"SOT-23-3";3;"NPN";;;
14;"R35,R37,R28,R23,R20,R24";"0603R";6;"1k";;;
15;"R50";"0603R";1;"330R";;;
16;"C43,C42";"0805C";2;"CL21B105KBFNNNG";;;
17;"U7";"PCF85063A";1;"PCF85063A";;;
18;"U3";"SOP-16";1;"CH340C";;;
19;"R14";"0603R";1;"47k5-RC0603FR-0747K5L";;;
20;"C5,C10,C8";"0603C";3;"10u-GRM188R61E106KA73J";;;
21;"R27,R26,R1,R54,R41,R4,R57,R55";"0603R";8;"10k";;;
22;"C14,C15";"0603C";2;"2u2-GRM188R61E225MA12D";;;
23;"D6,D7";"SOT-23-3";2;"BAT54S";;;
24;"L1";"1515L";1;"LQH44PN4R7MP0L";;;
25;"K12";"SFV6R-1STBE1HLF";1;"SFV6R-1STBE1HLF";;;
26;"R45";"0603R";1;"15R";;;
27;"U9";"SOT26";1;"AP5726WG-7";;;
28;"C24,C53";"2917C";2;"DNP";;;
29;"R22,R47";"0603R";2;"47k";;;
30;"Q1";"SOT-23-3";1;"DNP";;;
31;"R33";"0603R";1;"47R";;;
32;"H4,H1,H2,H3";"Standoff_M3";4;"Standoff_M3";;;
33;"X1";"ABS07AIG-32.768KHZ-7-D-T";1;"7LC32768F12UC";;;
34;"C19,C18";"0603C";2;"100n-AC0603KRX7R8BB104";;;
35;"R21";"0603R";1;"0R";;;
36;"D1,D3";"SOD-323-2";2;"CUS10F30,H3F";;;
37;"U11,U13";"PCAL6416AHF,128";2;"PCAL6416AHF,128";;;
38;"C17,C16";"0603C";2;"10n-AC0603KRX7R8BB103";;;
39;"D14,D13";"M4_DIODA";2;"M4_DIODA";;;
40;"C64,C21,C49";"1206C";3;"10u";;;
41;"Q7,Q9";"SOT-23-3";2;"SSM3J358R,LF";;;
42;"R15,R13";"0603R";2;"1M";;;
43;"R17,R18,R46";"0603R";3;"5k1";;;
44;"R2";"0603R";1;"NTC-NCP18XH103F03RB";;;
45;"U1";"VQFN-49";1;"TPS65186RGZ";;;
46;"C31,C32";"0603C";2;"12p";;;
47;"Q11,Q4";"SOT-23-3";2;"NMOS";;;
48;"K10";"CR2032-BS-6-1";1;"CR2032_BS-6-1";;;
49;"R16";"0603R";1;"52k3-RC0603FR-0752K3L";;;
50;"F1";"1206FUSE";1;"1206FUSE-500mA";;;
51;"K36";"SFV8R-1STBE1HLF";1;"SFV8R-1STBE1HLF";;;
52;"K11";"HYC77-TF09-200";1;"HYC77-TF09-200";;;
53;"K3";"easyC-connector";1;"easyC-SMD";;;
54;"SW3,SW2";"K2-1114SA-A4SW-06";2;"K2-1114SA-A4SW-06";;;
55;"D15";"SOD-523";1;"RB510SM-40FHT2R";;;
56;"C37";"0603C";1;"4u7";;;
57;"U14";"TXS0104EPWR";1;"TXS0104EPWR";;;
58;"L3";"NR4012";1;"NR4012T220M";;;
59;"U6";"TPS7A2633DRVR";1;"TPS7A2633DRVR";;;
60;"U10";"SN74LVC1G34DBV";1;"SN74LVC1G34DBV";;;
61;"U8";"MCP47A1-SOT23-6";1;"MCP47A1";;;
62;"R34,R19";"0603R";2;"DNP";;;
63;"D10";"0402LED";1;"RED";;;
64;"D2,D4,D12,D5";"SOD-323";4;"BAT20J";;;
65;"SW1";"YTSA007A0151803B";1;"YTSA007A0151803B";;;
66;"U12";"ESP32-WROVER";1;"ESP32-WROVER";;;
67;"R32";"0603R";1;"2k49";;;
68;"C46";"0603C";1;"100p";;;
69;"L2";"NR4012";1;"NR4012T2R2M";;;
70;"JP5";"SMD_JUMPER";1;"SMD_JUMPER";;;
71;"D11";"LTST-S270GKT";1;"0603LED_SIDE";;;
72;"R29";"0603R";1;"510k";;;
73;"C38";"0603C";1;"1u";;;
74;"K2";"U262-161N-4BVC11";1;"U262-161N-4BVC11";;;
75;"U5";"TSSOP-14";1;"MC14093BDTR2G";;;
76;"K1";"INKPLATE TEST HEADER";1;"Inkplate_TP";;;
77;"K4";"JST-2pin-SMD";1;"JST-2pin-SMD";;;
78;"R3";"0603R";1;"43k-RC0603FR-0743KL";;;
79;"U2";"SOT-23-5";1;"TPS3840PL27DBVR";;;
80;"K13";"SFV34R-3STBE1HLF";1;"SFV34R-3STBE1HLF";;;
